ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone,bu_inperson,bu_text,bu_sm,bu_email,bu_fbstatus,bu_smstatus,bu_image,bu_drift,bu_other,bu_never,dump_phone,dump_inperson,dump_text,Sex,Sexuality,Transgender,Child_Age,Child_Gen,Parent_Metro,Parent_Rent,Household_Size,Parent_Internet,Sexuality2,Child_Gen2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2
767,4.0,10.0,2.0,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,4,17.0,2,0.0,1.0,4.0,1.0,Straight,Female,No,Non-metro,Own,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
768,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,3.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
769,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,4.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
770,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,3.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
771,4.0,9.0,7.0,1.0,2.0,1.0, , , , , , , , , , , , , , , ,2,4,15.0,2,1.0,1.0,5.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
772,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,4.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
773,1.0,10.0,5.0,1.0,4.0,1.0, , , , , , , , , , , , , , , ,2,4,13.0,2,1.0,1.0,6.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
774,6.0,10.0,8.0,4.0,1.0,2.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,5.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0, , , , , , , , , , , , , , , ,2,4,17.0,1,1.0,1.0,3.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
776,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,0.0,,,,Metro,Own,No,,,,,,,,,,,,,,
777,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
778,1.0,1.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,1,1.0,1.0,6.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
779,3.0,10.0,6.0,2.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,3.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
780,5.0,10.0,10.0,5.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,2,1.0,2.0,5.0,1.0,Straight,Female,No,Metro,Rent,Yes,,,,,,,,,,,,,,
781,8.0,10.0,9.0,7.0,6.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2,4,14.0,1,1.0,2.0,3.0,0.0,Straight,Male,No,Metro,Rent,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
782,,,,,,, , , , , , , , , , , , , , , , , ,16.0,1,1.0,1.0,4.0,1.0,,Male,,Metro,Own,Yes,,,,,,,,,,,,,,
783,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
784,1.0,10.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,2.0,8.0,1.0,Straight,Female,No,Metro,Rent,Yes,,,,,,,,,,,,,,
786,5.0,5.0,5.0,5.0,5.0,5.0, , , , , , , , , , , , , , , ,2,4,17.0,1,1.0,2.0,6.0,1.0,Straight,Male,No,Metro,Rent,Yes,,,,,,,,,,,,,,
788,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,3.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
791,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
792,5.0,10.0,8.0,3.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,13.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
793,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
795,7.0,1.0,2.0,9.0,5.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,15.0,1,1.0,1.0,9.0,1.0,Straight,Male,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
796,8.0,10.0,1.0,4.0,10.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
798,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
799,2.0,10.0,5.0,3.0,1.0,4.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
800,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
801,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
804,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
805,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,1.0,0.0,,,,Metro,Rent,No,,,,,,,,,,,,,,
806,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
807,1.0,10.0,8.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,16.0,1,1.0,1.0,3.0,1.0,Straight,Male,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
